76,43,50,1,1
76,50,54,1,1
76,55,57,1,1
76,59,59,1,1
77,62,61,0.5,2
77,65,63,0.5,2
77.25,81,72,0.33333,0
77.5,45,51,1.5,1
77.5,52,55,1.5,1
77.5,57,58,1.75,1
77.5,61,60,1.5,1
77.66667,81,72,0.66666,0
78.33333,79,71,0.33333,0
78.75,79,71,0.33333,0
79.16667,79,71,0.58333,0
79.25,59,59,0.75,1
79.5,65,63,0.5,2
79.5,69,65,0.5,2
79.75,78,70,0.25,0
80,50,54,1,1
80,57,58,1,1
80,62,61,3.5,1
80,79,71,1,0
81,67,64,0.5,2
81,81,72,0.25,0
81.5,42,49,2,1
81.5,50,54,2,1
81.5,57,58,2,1
81.5,64,62,2,1
81.5,74,68,0.5,0
83.5,60,60,0.5,2
83.5,69,65,0.5,2
84,43,50,1,1
84,50,54,1,1
84,55,57,1,1
84,59,59,1,1
84.25,69,65,0.25,0
84.5,78,70,0.5,0
85,62,61,0.5,2
85,65,63,0.5,2
85,76,69,0.25,0
85.25,74,68,0.5,0
85.5,45,51,1.5,1
85.5,52,55,1.5,1
85.5,57,58,1.75,1
85.5,61,60,1.5,1
85.75,76,69,0.5,0
