48,43,50,1,2
48,60,60,8,1
48,60,60,4,3
48,60,60,1,4
48,72,67,8,0
49,43,50,0.25,2
49,55,57,1.5,4
49.33333,43,50,0.25,2
49.66667,43,50,0.25,2
50,43,50,1,2
50.5,60,60,0.5,4
51,43,50,0.25,2
51,60,60,0.16667,4
51.25,62,61,0.16667,4
51.33333,43,50,0.25,2
51.5,63,62,0.16667,4
51.66667,43,50,0.25,2
51.75,65,63,0.16667,4
52,43,50,1,2
52,67,64,4,4
52,72,67,1,3
53,43,50,0.25,2
53,67,64,1.5,3
53.33333,43,50,0.25,2
53.66667,43,50,0.25,2
54,43,50,1,2
54.5,67,64,0.5,3
55,43,50,0.25,2
55,67,64,0.16667,3
55.25,65,63,0.16667,3
55.33333,43,50,0.25,2
55.5,63,62,0.16667,3
55.66667,43,50,0.33333,2
55.75,62,61,0.16667,3
56,41,49,1,2
56,60,60,1,1
56,60,60,4,3
56,60,60,1,4
57,41,49,0.25,2
57,55,57,1.5,1
57,55,57,1.5,4
57.33333,41,49,0.25,2
57.66667,41,49,0.25,2
58,41,49,1,2
58.5,60,60,0.5,1
58.5,60,60,0.5,4
59,41,49,0.25,2
59,60,60,0.16667,1
59,60,60,0.16667,4
59.25,62,61,0.16667,1
59.25,62,61,0.16667,4
59.33333,41,49,0.25,2
59.5,60,60,0.16667,4
59.5,63,62,0.16667,1
59.66667,41,49,0.25,2
59.75,58,59,0.16667,4
59.75,65,63,0.16667,1
60,41,49,1,2
60,60,60,1,3
60,60,60,4,4
60,67,64,8,1
60,72,67,1,0
61,41,49,0.25,2
61,67,64,1.5,0
61,67,64,1.5,3
61.33333,41,49,0.25,2
61.66667,41,49,0.25,2
62,41,49,1,2
62.5,60,60,0.5,0
62.5,60,60,0.5,3
63,41,49,0.25,2
63,60,60,0.16667,0
63,60,60,0.16667,3
63.25,62,61,0.16667,0
63.25,62,61,0.16667,3
63.33333,41,49,0.25,2
63.5,63,62,0.16667,0
63.5,63,62,0.16667,3
63.66667,41,49,0.33333,2
63.75,65,63,0.16667,0
63.75,65,63,0.16667,3
64,43,50,0.5,2
