594,37,47,0.25,5
594,61,61,2,2
594,64,63,2,2
594,68,65,2,2
594.25,37,47,0.25,5
594.5,49,54,0.25,5
594.75,49,54,0.25,5
595,37,47,0.25,5
595.25,37,47,0.25,5
595.5,49,54,0.25,5
595.75,49,54,0.25,5
596,37,47,0.25,5
596,61,61,8,2
596,64,63,8,2
596,68,65,8,2
596,73,68,7.5,0
596.25,37,47,0.25,5
596.5,49,54,0.25,5
596.75,49,54,0.25,5
597,37,47,0.25,5
597.25,37,47,0.25,5
597.5,49,54,0.25,5
597.75,49,54,0.25,5
598,37,47,0.25,5
598.25,37,47,0.25,5
598.5,49,54,0.25,5
598.75,49,54,0.25,5
599,37,47,0.25,5
599.25,37,47,0.25,5
599.5,49,54,0.25,5
599.75,49,54,0.25,5
600,37,47,0.25,5
600.25,37,47,0.25,5
600.5,49,54,0.25,5
600.75,49,54,0.25,5
601,37,47,0.25,5
601.25,37,47,0.25,5
601.5,49,54,0.25,5
601.75,49,54,0.25,5
602,37,47,0.25,5
602.25,37,47,0.25,5
602.5,49,54,0.25,5
602.75,49,54,0.25,5
603,37,47,0.25,5
603.25,37,47,0.25,5
603.5,49,54,0.25,5
603.5,75,69,0.5,0
603.75,49,54,0.25,5
604,37,47,0.25,5
604,64,63,2,2
604,68,65,2,2
604,73,68,2,2
604,76,70,2,0
604.25,37,47,0.25,5
604.5,49,54,0.25,5
604.75,49,54,0.25,5
605,37,47,0.25,5
605.25,37,47,0.25,5
605.5,49,54,0.25,5
605.75,49,54,0.25,5
606,35,46,0.25,5
606,63,62,2,2
606,66,64,2,2
606,71,67,2,2
606,75,69,2,0
606.25,35,46,0.25,5
606.5,47,53,0.25,5
606.75,47,53,0.25,5
607,35,46,0.25,5
607.25,35,46,0.25,5
607.5,47,53,0.25,5
607.75,47,53,0.25,5
608,33,44,0.25,5
608,61,61,2,2
608,64,63,2,2
608,69,65,2,2
608,73,68,2,0
608.25,33,44,0.25,5
608.5,45,51,0.25,5
608.75,45,51,0.25,5
609,33,44,0.25,5
609.25,33,44,0.25,5
609.5,45,51,0.25,5
609.75,45,51,0.25,5
610,40,49,0.25,5
610,64,63,2,2
610,68,65,2,2
610,71,67,2,2
610,80,72,2,0
610.25,40,49,0.25,5
610.5,52,56,0.25,5
610.75,52,56,0.25,5
611,40,49,0.25,5
611.25,40,49,0.25,5
611.5,52,56,0.25,5
611.75,52,56,0.25,5
612,40,49,0.25,5
612,68,65,4,2
612,71,67,4,0
612,71,67,4,2
612,76,70,4,2
612.25,40,49,0.25,5
612.5,52,56,0.25,5
612.75,52,56,0.25,5
613,40,49,0.25,5
613.25,40,49,0.25,5
613.5,52,56,0.25,5
613.75,52,56,0.25,5
614,40,49,0.25,5
614.25,40,49,0.25,5
614.5,52,56,0.25,5
614.75,52,56,0.25,5
615,40,49,0.25,5
615.25,40,49,0.25,5
615.5,52,56,0.25,5
